id_cmonoc,lat,lon,alt
nmzl,42.2332971,115.9804062,1295.0996
nxhy,36.5539594,105.6458107,1822.3239
nxyc,38.4941681,106.2737227,1071.1069
nxzw,37.5860820,105.2436623,1222.2175
qhbm,32.9316491,100.7411532,3486.7293
qhdl,36.2962730,98.0964915,3149.0220
qhgc,37.3333987,100.1301275,3276.8463
qhge,36.1452834,94.7716742,3090.0131
qhlh,38.7442048,93.3313914,2720.6812
qhmd,34.9201929,98.2080428,4263.1017
qhme,37.4718740,101.4009974,2972.0724
qhmq,34.4783901,100.2490098,3713.5201
qhmy,38.4751242,90.8011995,3608.3130
qhql,38.1858343,100.2375379,2687.2019
qhtr,35.5160415,102.0098828,2473.7158
qhtt,34.2166312,92.4375544,4499.1487
qhys,33.0094971,97.0146458,3704.3882
qion,19.0294447,109.8450089,207.5637
scbz,31.8408347,106.7446042,438.7251
scdf,30.9778899,101.1227147,2940.0975
scgu,32.4248286,105.8997105,507.3619
scgy,32.4389045,105.8522960,474.9374
scgz,31.6103297,100.0188326,3353.0982
scjl,29.0080954,101.5003620,2903.1639
scju,28.1791725,104.5157292,459.1112
sclh,31.3877632,100.6719603,3257.8236
sclt,29.9916473,100.2180997,3939.9054
scmb,28.8404239,103.5335553,599.4670
scml,27.9294013,101.2753255,2344.5784
scmn,28.3328475,102.1738501,1634.4542
scmx,31.6711925,103.8495780,1688.5638
scnc,30.9792782,105.8822135,336.3285
scnn,27.0569879,102.7164409,1316.4852
scpz,26.5031815,101.7439173,1167.5725
scsm,29.2293782,102.3536781,859.3174
scsn,30.5075672,105.5620751,313.3742
scsp,32.6484353,103.5824128,3247.8868
sctq,30.0735844,102.7650014,773.7346
scxc,28.9373830,99.8032438,2814.2995
scxd,28.3003683,102.4370483,1825.8271
scxj,31.0003843,102.3721318,2626.1014
scyx,28.6508668,102.5114701,1630.7026
scyy,27.4319474,101.5125677,2518.6548
sdcy,36.7536406,119.4597100,58.0600
sdjx,35.4269699,116.3505855,98.3483
sdly,35.0003049,118.2879977,69.7147
sdqd,36.0766992,120.3038936,13.5929
sdrc,37.1702412,122.4207622,66.4179
sdyt,37.4825962,121.4355568,92.3844
sdzb,36.8064046,117.9917082,38.0798
sha2,31.0996425,121.2004480,22.0405
shao,31.0996422,121.2004490,21.9820
snak,32.7935011,108.7733222,503.3192
snhy,34.4813968,110.0766297,2050.3929
snmx,33.1264448,106.6881195,594.0459
sntb,34.0574309,107.3186494,1513.4340
snxy,35.1686802,108.3886427,1123.9752
snya,36.6239137,109.4573533,993.3076
suiy,44.4333439,130.9080733,369.1885
sxcz,36.2246045,113.1801135,1028.1628
sxdt,40.1223375,113.3924503,1073.4832
sxgx,36.2521420,111.8999896,628.3026
sxkl,38.8028992,111.6035720,1553.9385
sxlf,36.0842176,111.3714031,558.9368
sxlq,39.3819135,114.0214748,1039.0902
sxty,37.7115105,112.4325789,925.2538
sxxx,35.1050823,111.2344653,577.5381
sxyc,37.6323732,112.8917356,855.2302
tain,36.2144775,117.1231011,338.8579
tash,37.7749316,75.2336183,3048.6526
tjbd,39.6974968,117.3991227,1.4857
tjbh,39.0837397,117.6891573,1.1507
tjwq,39.3754542,117.1029791,-0.0277
tsln,39.6067767,118.1969381,18.2083
tsta,39.6068350,118.1970051,18.2552
tstb,39.6068034,118.1969403,18.1930
uru2,43.8080131,87.6006747,854.9392
urum,43.8080131,87.6006745,854.9376
wuhn,30.5316524,114.3572668,25.8730
wush,41.2023017,79.2097652,1395.3113
xiaa,34.1782353,108.9856285,509.0879
xiag,25.6080758,100.2546381,1974.2730
xiam,24.4498566,118.0826075,106.0724
xjal,47.8555260,88.1349003,874.8801
xjbc,39.8138660,78.7703078,1089.9969
xjbe,47.6948369,86.8560624,431.8798
xjbl,38.6508990,74.9711313,3412.6715
xjby,42.8291362,83.7156598,2417.7131
xjds,44.3109103,84.8857464,749.6212
xjfy,46.9989700,89.5392471,791.9585
xjht,37.1620528,79.0451685,1572.7106
xjjj,42.8488658,94.3358386,1546.9342
xjkc,41.7251241,82.9785122,1028.8527
xjke,41.7920206,86.1895097,925.0233
xjkl,45.6102526,84.9125838,321.0017
xjml,43.8093785,90.2959909,1347.3293
xjqh,46.1507188,90.9788803,1107.4631
xjqm,38.1186933,85.5304511,1202.9310
xjrq,39.0220631,88.1704594,830.7362
xjsh,44.2080744,86.1060895,554.8404
xjss,42.8927372,90.2570786,348.6516
xjtc,46.8239234,82.8753835,595.4324
xjtz,38.9686580,83.6593355,1046.6692
xjwl,42.9228554,86.7192432,2605.9684
xjwq,44.9600762,80.9987883,1391.8552
xjwu,39.7398723,75.2378655,2199.3751
xjxy,43.3976260,83.2567950,1023.6635
xjyc,37.8503383,77.4455739,1337.1446
xjyn,43.9724155,81.5262666,733.6510
xjyt,36.4328389,81.9690638,2584.9593
xjzs,42.6764474,80.3643371,1868.9434
xnin,36.6006615,101.7743739,2363.8644
xzar,29.2685168,87.1838189,4340.1144
xzbg,30.8365519,81.4280126,4705.0252
xzcd,31.1349877,97.1735319,3306.8257
xzcy,28.6612554,97.4658021,2351.7121
xzdx,30.4800168,91.0972485,4248.5042
xzge,32.5199068,80.1067659,4427.3622
xzgz,32.2921981,84.0710796,4423.1782
xznm,31.7955243,87.2340327,4503.4915
xznq,31.4918756,92.1085707,4573.3512
xzrk,29.2486802,88.8650467,3854.8214
xzrt,33.3925381,79.7179768,4256.6532
xzsh,33.2036448,88.8345499,4899.6983
xzyd,27.4371271,88.9063918,3538.8696
xzzb,29.6803327,84.1563921,4570.0613
xzzf,28.3572445,86.9406188,4292.0954
yanc,37.7785159,107.4371636,1303.5130
yncx,25.0495242,101.4928296,1785.3533
yndc,26.1079448,103.1808559,1297.6347
yngm,23.5460351,99.3923906,1104.8080
ynhz,26.4082858,103.2916854,2263.9221
ynjd,24.4371372,100.8808008,1244.6165
ynjp,22.7861583,103.2319903,1250.0926
ynla,22.5602970,99.9535710,1107.9005
ynlc,23.8677514,100.0754724,1559.4655
ynlj,26.6956310,100.0293146,3195.7706
ynmh,21.9481645,100.4511731,1166.2625
ynmj,23.4160471,101.6748233,1281.6612
ynml,24.3963109,103.3818959,1520.7606
ynmz,23.3559659,103.4038311,1275.2876
ynrl,24.0004866,97.8453262,723.3081
ynsd,24.7128281,99.1902230,1478.7989
ynsm,22.7405527,101.0493868,1445.3556
yntc,24.9545744,98.4383771,1470.1361
ynth,24.1183482,102.7514198,1778.1420
ynws,23.4131401,104.2486944,1451.5976
ynxp,24.1024157,101.9061009,1978.0089
ynya,25.7234801,101.3273598,1846.1666
ynyl,25.8846996,99.3716206,1696.2899
ynym,25.6893871,101.8609293,1077.8144
ynys,26.6831007,100.7538948,2143.9053
ynzd,27.8231459,99.6979881,3296.9341
yong,16.8340340,112.3353499,10.2834
zhnz,34.5207466,113.1048933,443.6464
zjjd,29.4747473,119.2743222,97.1785
zjwz,27.9341219,120.7628980,114.9303
zjzs,30.0707740,121.9885133,22.7581
